step,accuracy_mean,accuracy_q10,accuracy_q90,entropy_mean,entropy_q10,entropy_q90,true_cond_entropy_mean,false_cond_entropy_mean,true_mass_mean,loss_mean,reward_mean
81,0.9992875290,0.9992397633,0.9993353291,0.3925504210,0.3850947130,0.4029453804,0.3866928804,11902.1884269714,0.9992875290,0.0451573475,
82,0.9992986449,0.9992506123,0.9993424187,0.3936850635,0.3849825881,0.4044413798,0.3879411540,3315.9633762042,0.9992986449,0.0397988819,
83,0.9993183605,0.9992632303,0.9993672209,0.3922508576,0.3837500618,0.4034117424,0.3866582270,7700.3271304385,0.9993183605,0.0338522630,
84,0.9993193475,0.9992789502,0.9993619809,0.3914111316,0.3843638487,0.3997090683,0.3858419621,16245.8043656158,0.9993193475,0.0403355299,
85,0.9993392285,0.9992959309,0.9993759460,0.3911462144,0.3830755451,0.4005260093,0.3857315658,18099.0117530632,0.9993392285,0.0350584524,
86,0.9993568405,0.9993016758,0.9994077816,0.3912030816,0.3837324450,0.4009668725,0.3859055018,17651.9852953974,0.9993568405,0.0315929769,
87,0.9993722359,0.9993193421,0.9994232488,0.3888136621,0.3810024470,0.3982879823,0.3836539686,24434.4426140785,0.9993722359,0.0411099643,
88,0.9993862756,0.9993379803,0.9994336758,0.3879044787,0.3794772310,0.3979707556,0.3828552286,42540.6389576213,0.9993862756,0.0325612482,
89,0.9994112809,0.9993643942,0.9994556456,0.3867939872,0.3789038501,0.3959701614,0.3819215365,16151.0643514379,0.9994112809,0.0321910586,
90,0.9994393452,0.9994103312,0.9994697757,0.3869745781,0.3789344590,0.3964514005,0.3822780252,24137.6485257085,0.9994393452,0.0334744739,
91,0.9994397124,0.9994131675,0.9994656920,0.3878938762,0.3810388081,0.3959373839,0.3832137839,23998.4656937853,0.9994397124,0.0306437643,
92,0.9994551555,0.9994325218,0.9994776516,0.3860969085,0.3792787108,0.3938217487,0.3815360071,18782.4175607554,0.9994551555,0.0257645516,
93,0.9994617852,0.9994360242,0.9994855313,0.3849954526,0.3774091817,0.3935407807,0.3804961874,37892.3120397186,0.9994617852,0.0329353965,
94,0.9994682884,0.9994360180,0.9994962864,0.3843388720,0.3769776887,0.3930521854,0.3799074900,25236.5328927104,0.9994682884,0.0332354375,
95,0.9994807728,0.9994476624,0.9995104198,0.3843008778,0.3768549389,0.3930828327,0.3799651684,24987.9530082194,0.9994807728,0.0288635132,
96,0.9995069345,0.9994796476,0.9995383596,0.3851606888,0.3779595104,0.3933198239,0.3809872204,11076.7419503657,0.9995069345,0.0276940775,
97,0.9995206443,0.9995004749,0.9995446777,0.3844598401,0.3767908700,0.3933025887,0.3803905499,24120.0022916412,0.9995206443,0.0272114966,
98,0.9995414503,0.9995178022,0.9995600824,0.3825988303,0.3758740805,0.3908013924,0.3786647991,31234.2663099162,0.9995414503,0.0247198163,
99,0.9995501598,0.9995227299,0.9995700436,0.3810869881,0.3743896974,0.3895915059,0.3772251532,27311.8510824966,0.9995501598,0.0294152194,
100,0.9995582795,0.9995313530,0.9995783558,0.3809550025,0.3741960562,0.3893610104,0.3771602325,30468.5402887853,0.9995582795,0.0245324876,
101,0.9995689948,0.9995384197,0.9995931873,0.3807076375,0.3743327686,0.3886534458,0.3769920307,20800.5481482824,0.9995689948,0.0251568103,
102,0.9995787199,0.9995528021,0.9995973673,0.3798401546,0.3741784877,0.3869263309,0.3762012716,21993.9510958099,0.9995787199,0.0220407049,
103,0.9995848409,0.9995572572,0.9996046281,0.3791583709,0.3727723334,0.3871972601,0.3755710886,24468.2632961337,0.9995848409,0.0225929438,
104,0.9996030140,0.9995866470,0.9996156845,0.3788965909,0.3721293517,0.3869033228,0.3754409152,20328.4306948408,0.9996030140,0.0298240023,
105,0.9996054713,0.9995882201,0.9996187167,0.3780407117,0.3718475479,0.3861504081,0.3746118971,32719.8831092262,0.9996054713,0.0197539050,
106,0.9996133733,0.9995953560,0.9996263485,0.3773198543,0.3713386173,0.3847263579,0.3739583592,38088.8489621544,0.9996133733,0.0233493013,
107,0.9996214143,0.9996019654,0.9996355577,0.3760847845,0.3699982462,0.3837330451,0.3727874102,28614.2958459600,0.9996214143,0.0196804404,
108,0.9996238661,0.9996022220,0.9996405425,0.3761868215,0.3699822378,0.3835517139,0.3729163281,10542.3583400663,0.9996238661,0.0225509933,
109,0.9996293751,0.9996097260,0.9996454582,0.3760535252,0.3697541429,0.3835140435,0.3728289121,16945.4819650523,0.9996293751,0.0214513366,
110,0.9996406635,0.9996194277,0.9996570635,0.3761290316,0.3703599939,0.3832199764,0.3729863675,18480.5795749537,0.9996406635,0.0261128681,
111,0.9996478335,0.9996286402,0.9996623735,0.3748304311,0.3696462290,0.3813002636,0.3717417876,12291.5880684725,0.9996478335,0.0187058899,
112,0.9996653922,0.9996644564,0.9996666307,0.3766495665,0.3682010164,0.3878366537,0.3736671486,35672.1323119609,0.9996653922,0.0349973378,
113,0.9996703275,0.9996691694,0.9996714010,0.3760124244,0.3681453986,0.3864921026,0.3730705160,30590.6617461777,0.9996703275,0.0150427548,
114,0.9996725321,0.9996714315,0.9996735067,0.3756963448,0.3674825246,0.3863239954,0.3727756002,32060.1220959727,0.9996725321,0.0180160422,
115,0.9996847884,0.9996819277,0.9996879282,0.3751459471,0.3669797510,0.3852808665,0.3723190977,17621.8198550288,0.9996847884,0.0241785310,
116,0.9996911081,0.9996899629,0.9996922879,0.3744800136,0.3664747851,0.3844586542,0.3717038769,22775.9274612999,0.9996911081,0.0215961883,
117,0.9996961578,0.9996941223,0.9996976891,0.3738989975,0.3662891523,0.3836065694,0.3711663246,22037.9214809291,0.9996961578,0.0215685728,
118,0.9997007203,0.9996977587,0.9997030210,0.3730495826,0.3656103752,0.3825987146,0.3703581957,30393.1086618551,0.9997007203,0.0193230280,
119,0.9997026642,0.9996997929,0.9997052422,0.3722508909,0.3658232515,0.3792810624,0.3695812192,12842.1188870494,0.9997026642,0.0228009457,
120,0.9997060386,0.9997029085,0.9997094297,0.3723229760,0.3656830156,0.3795357935,0.3696811247,22091.7653964233,0.9997060386,0.0188829222,
121,0.9997124092,0.9997054496,0.9997184234,0.3724127020,0.3660990788,0.3793309838,0.3698190941,16064.6821452077,0.9997124092,0.0172036967,
122,0.9997163049,0.9997084770,0.9997222576,0.3720238541,0.3662141411,0.3782578866,0.3694621253,29524.4260853704,0.9997163049,0.0151637675,
123,0.9997215581,0.9997122006,0.9997295232,0.3706983785,0.3641217158,0.3774986689,0.3681821990,36655.0738506063,0.9997215581,0.0197137256,
124,0.9997273707,0.9997214518,0.9997321234,0.3706831241,0.3640817885,0.3773086066,0.3682133335,33517.0721483739,0.9997273707,0.0189842113,
125,0.9997322814,0.9997289457,0.9997350607,0.3693667114,0.3629673234,0.3760916563,0.3669392006,37809.4059283320,0.9997322814,0.0180749570,
126,0.9997341061,0.9997327824,0.9997354374,0.3691732099,0.3636938813,0.3743639734,0.3667642415,34293.4439721553,0.9997341061,0.0204344013,
