step,accuracy_mean,accuracy_q10,accuracy_q90,entropy_mean,entropy_q10,entropy_q90,true_cond_entropy_mean,false_cond_entropy_mean,true_mass_mean,loss_mean,reward_mean
0,0.7484023643,0.7484023643,0.7484023643,1.4789115620,1.4789115620,1.4789115620,0.6058424401,2.5539051151,0.7484023643,,
1,0.7729088418,0.7723856535,0.7735077581,1.3871302040,1.3765970621,1.3983358603,0.5886675139,2.5114816475,0.7729088418,-0.4900044600,0.4277343750
2,0.7977753417,0.7938503366,0.8009755139,1.3026109004,1.2943416848,1.3109092889,0.5618041178,2.5125533835,0.7977753417,-0.2713422328,0.5514322917
3,0.8178256162,0.8002150455,0.8318403373,1.1773069994,1.1749504323,1.1798297124,0.5234163404,2.4752486960,0.8178256162,-0.4371718963,0.4648437500
4,0.8378281951,0.8269441652,0.8489535131,1.0713419191,1.0198508110,1.1303425007,0.4899360847,2.4336555862,0.8378281951,-0.4724058211,0.4609375000
5,0.8599795413,0.8515337324,0.8660773249,0.9759415309,0.9266783261,1.0328792825,0.4637491391,2.4200518068,0.8599795413,-0.5080387195,0.4726562500
6,0.8811609554,0.8716516223,0.8893002448,0.9120602560,0.8351521821,0.9892818646,0.4506022878,2.4353275172,0.8811609554,-0.2744723409,0.5585937500
7,0.7458718689,0.6462424445,0.8461598639,1.2292942588,1.0385236406,1.4391734781,0.5200355577,2.4024865484,0.7458718689,-0.0899779598,0.5937500000
8,0.8671217402,0.8284564543,0.8950730753,0.9336187482,0.8425304770,1.0417133155,0.4550494476,2.3974156841,0.8671217402,-0.3137634844,0.4583333333
9,0.8983906587,0.8907395296,0.9061099520,0.8342720469,0.7995084906,0.8606642656,0.4290556943,2.3936537568,0.8983906587,0.0916820119,0.8183593750
10,0.9045720824,0.8917340312,0.9156169658,0.7941622424,0.7420204897,0.8451896238,0.4181016413,2.3886950366,0.9045720824,-0.0372283440,0.7701822917
11,0.9182578325,0.9063509216,0.9296946068,0.7219623009,0.6670471091,0.7744462428,0.3984851976,2.3569433848,0.9182578325,-0.1486569842,0.6848958333
12,0.9325808112,0.9221800184,0.9427637129,0.6824272823,0.6278315315,0.7292251930,0.3899051708,2.3455119197,0.9325808112,0.0900599311,0.7649739583
13,0.9435849293,0.9360876527,0.9532753320,0.6356201235,0.5974798284,0.6680762506,0.3777589511,2.3862409846,0.9435849293,-0.0072610552,0.8111979167
14,0.9336017537,0.9201901665,0.9490439167,0.6562566610,0.6103085532,0.6900097718,0.3806335151,2.3087208303,0.9336017537,-0.1855541766,0.7161458333
15,0.9446583637,0.9326904621,0.9547556438,0.6075769615,0.5812729092,0.6396281242,0.3708776776,2.3083860524,0.9446583637,0.1147776445,0.9101562500
