step,accuracy_mean,accuracy_q10,accuracy_q90,entropy_mean,entropy_q10,entropy_q90,true_cond_entropy_mean,false_cond_entropy_mean,true_mass_mean,loss_mean,reward_mean
0,0.7483977294,0.7483977294,0.7483977294,1.4789266872,1.4789266872,1.4789266872,0.6058410573,2.5539475155,0.7483977294,,
1,0.7751037709,0.7738311911,0.7765980139,1.3834283717,1.3735680590,1.3930696917,0.5898456780,2.5137607066,0.7751037709,-0.4127573570,0.4480794271
2,0.8005455073,0.7967194252,0.8046530933,1.2876420506,1.2731456585,1.3064521103,0.5571952780,2.5209068871,0.8005455073,-0.3200090875,0.5517578125
3,0.8178787223,0.8043411112,0.8287074041,1.1910860753,1.1726505394,1.2104648647,0.5250113781,2.4856844203,0.8178787223,-0.4376346270,0.4682617188
4,0.8318042445,0.8219329443,0.8437457170,1.0961856711,1.0540041811,1.1490311263,0.4962105918,2.4338241259,0.8318042445,-0.4351392289,0.4806315104
5,0.8628722064,0.8579981632,0.8664886799,0.9726705861,0.9524469442,0.9929539614,0.4632749257,2.4242721558,0.8628722064,-0.4864405046,0.4734700521
6,0.8792344864,0.8669883852,0.8899028158,0.9367339845,0.8610659029,1.0182432692,0.4619607306,2.4436058013,0.8792344864,-0.2603756338,0.5605468750
7,0.7308686201,0.6026329498,0.8444019604,1.2730593618,1.0711127777,1.5119382935,0.5333775485,2.4013626893,0.7308686201,-0.0825646321,0.6113281250
8,0.8625954851,0.8094654655,0.9037840004,0.9409001374,0.8245656271,1.0829681597,0.4507026891,2.4025028006,0.8625954851,-0.3624744117,0.4241536458
9,0.8958035771,0.8793889189,0.9078953428,0.8390151970,0.7933452525,0.8928779216,0.4339098847,2.3891662153,0.8958035771,0.1177555496,0.8125000000
10,0.9028666735,0.8864030466,0.9149783869,0.8061741002,0.7533058224,0.8680379772,0.4237094108,2.4064399703,0.9028666735,0.0712185527,0.8007812500
11,0.9141813032,0.9033169966,0.9231532068,0.7545088800,0.7159654593,0.7986355853,0.4133313835,2.3629846160,0.9141813032,-0.1763393035,0.6559244792
