step,accuracy_mean,accuracy_q10,accuracy_q90,entropy_mean,entropy_q10,entropy_q90,true_cond_entropy_mean,false_cond_entropy_mean,true_mass_mean,loss_mean,reward_mean
24,0.9213663300,0.9114647627,0.9312892847,0.5871311924,0.5074245665,0.6810875502,0.3251041893,2597.2567247216,0.9213663300,-0.2167101006,0.7500000000
25,0.9280351996,0.9148153725,0.9451701908,0.5519234983,0.4748571587,0.6539736042,0.3201934664,2466.8373808161,0.9280351996,0.0325940897,0.8541666667
26,0.9407445709,0.9267830639,0.9555240097,0.5147664402,0.4393240212,0.6134813317,0.3148470673,2.0887182919,0.9407445709,-0.0025380900,0.7291666667
27,0.9497497352,0.9360163059,0.9624200993,0.4691476403,0.4028978440,0.5456339432,0.2969178663,2.1130207078,0.9497497352,-0.2657088141,0.7083333333
28,0.9472054489,0.9341991463,0.9585964527,0.4674312868,0.4136328353,0.5345893878,0.2924447064,6358.5252747520,0.9472054489,0.2560415665,1.0000000000
29,0.9492696412,0.9324409070,0.9615699944,0.4611961402,0.3899093665,0.5486693515,0.2898548818,1.9846108516,0.9492696412,0.1673277145,0.8854166667
30,0.9532193685,0.9393105431,0.9639432926,0.4320115719,0.3725114244,0.5013808960,0.2736468633,2.0196894836,0.9532193685,0.0107017085,0.8437500000
31,0.9533793441,0.9393036294,0.9644781556,0.4318601447,0.3721896461,0.5008546680,0.2695127656,2.1166009124,0.9533793441,0.1735592633,0.9687500000
32,0.9550351715,0.9418202639,0.9651879740,0.4140126101,0.3613624942,0.4753446119,0.2613630380,1.9697488403,0.9550351715,-0.1635286808,0.8437500000
33,0.9570244400,0.9433973112,0.9681279001,0.3906023743,0.3417172140,0.4449370941,0.2523288401,2.0975652186,0.9570244400,0.0115372514,0.8541666667
34,0.9599260275,0.9477176242,0.9700570521,0.3719842521,0.3222229064,0.4169515374,0.2490739177,5997.2086045726,0.9599260275,0.1955879629,0.9583333333
35,0.9516508412,0.9404130683,0.9630640388,0.4165282108,0.3861448398,0.4391083288,0.2596690422,7720.1872251066,0.9516508412,0.2058010896,1.0000000000
36,0.9521098161,0.9443744421,0.9614482775,0.4121653966,0.3943734612,0.4324779449,0.2587608357,3171.4684333865,0.9521098161,0.0664590100,0.8958333333
37,0.9579193425,0.9460497284,0.9668195820,0.3605521214,0.3310217462,0.3835308032,0.2470188793,3671.3041605457,0.9579193425,0.1238711129,0.8958333333
38,0.9625881012,0.9528256493,0.9702201748,0.3465672102,0.3109462191,0.3745541645,0.2398567037,1696.9589530293,0.9625881012,0.1102265517,0.8437500000
39,0.9650079775,0.9574093847,0.9705657988,0.3259964327,0.2878432264,0.3555220509,0.2300569141,1003.6656616513,0.9650079775,0.2760285586,0.9583333333
40,0.9658949129,0.9575671268,0.9721006007,0.3120622142,0.2772112794,0.3377346349,0.2202787693,779.6366612212,0.9658949129,0.0773940509,0.9375000000
41,0.9664991172,0.9581563034,0.9727782707,0.3018569895,0.2713611305,0.3244714172,0.2134017424,5059.1195072397,0.9664991172,0.1172623535,0.9479166667
42,0.9665762401,0.9579593821,0.9730999517,0.2951928880,0.2623581501,0.3218400494,0.2112798613,1.9439435037,0.9665762401,0.0150003433,1.0000000000
43,0.9660382684,0.9571872921,0.9723649197,0.2915445642,0.2506927627,0.3266586865,0.2088098881,949.8908039745,0.9660382684,0.3287156920,0.9791666667
44,0.9681420207,0.9616028619,0.9729122109,0.2920360997,0.2501311157,0.3236705112,0.2095314938,1.9627458477,0.9681420207,-0.0891911065,0.8645833333
45,0.9691747761,0.9637667665,0.9731629648,0.2874073103,0.2636620523,0.3133183831,0.2094208030,3306.5046202405,0.9691747761,0.1510856152,0.9270833333
46,0.9678739095,0.9622533793,0.9722005839,0.2816201717,0.2529372851,0.3097956940,0.2022057171,2711.9930395699,0.9678739095,0.0092018743,0.8437500000
47,0.9691967177,0.9641986132,0.9734079237,0.2779254147,0.2515519313,0.2972321960,0.1919336873,1.8966931184,0.9691967177,0.1201739460,0.9375000000
48,0.9670663325,0.9626858273,0.9724163342,0.2881935076,0.2755494218,0.2984517570,0.1943489724,3107.7306927856,0.9670663325,0.0583563497,0.9583333333
49,0.9676577099,0.9636144781,0.9714687586,0.3033109142,0.2844789255,0.3289285262,0.2073151525,1.9120296478,0.9676577099,0.3769906759,1.0000000000
50,0.9721855394,0.9709674287,0.9733449998,0.2860503288,0.2641697733,0.3123663409,0.2023414203,490.5932022889,0.9721855394,-0.0078575263,0.8541666667
51,0.9719867444,0.9698116894,0.9738438263,0.2881951503,0.2671436012,0.3077507904,0.2052815074,3197.9288597711,0.9719867444,0.1297655751,0.9583333333
52,0.9726983388,0.9713088760,0.9741652603,0.2860700973,0.2734083366,0.2958860626,0.2039100262,4028.8701925373,0.9726983388,0.1517317692,1.0000000000
53,0.9724830039,0.9708613191,0.9740507436,0.2811283986,0.2715773134,0.2922720003,0.1970948267,613.2658842357,0.9724830039,0.1700873673,0.9479166667
54,0.9724460038,0.9708295183,0.9742404470,0.2758134512,0.2676232309,0.2848259468,0.1929282562,417.0004539061,0.9724460038,0.1708229631,0.9791666667
55,0.9752285107,0.9728743229,0.9772896233,0.2584320319,0.2524314470,0.2639378777,0.1842586384,471.9446215566,0.9752285107,0.0157381197,0.8958333333
56,0.9721356503,0.9703339353,0.9746130357,0.2741516022,0.2450656080,0.3034847202,0.1889177992,4835.5387656180,0.9721356503,0.1497648954,0.9583333333
57,0.9747767393,0.9735203700,0.9761761661,0.2649291646,0.2530869408,0.2797915926,0.1861921068,3494.3517679628,0.9747767393,0.0790000161,0.9062500000
58,0.9702025787,0.9647576675,0.9759869175,0.3055421122,0.2695406783,0.3401046898,0.1983379769,454.6673077202,0.9702025787,0.1091993401,0.9270833333
59,0.9740609662,0.9708639660,0.9776000843,0.2761452635,0.2550719585,0.2968692780,0.1873088298,2503.2020001888,0.9740609662,0.1087005834,0.9895833333
60,0.9775502666,0.9738165817,0.9810465813,0.2506753727,0.2230059924,0.2762532983,0.1796769460,2289.8729544735,0.9775502666,0.1027883440,0.9687500000
61,0.9801526976,0.9769589186,0.9825795012,0.2287209702,0.2054903688,0.2602791271,0.1676225015,2807.9892724403,0.9801526976,0.0141457170,0.9375000000
62,0.9820969884,0.9796604147,0.9844137793,0.2128028872,0.1871384301,0.2400961409,0.1618661366,449.2859963560,0.9820969884,0.1390548646,0.9583333333
63,0.9789098644,0.9752793970,0.9824745073,0.2441092288,0.2124562268,0.2744783463,0.1727918647,1.9587390836,0.9789098644,-0.1095537345,0.7500000000
64,0.9804686864,0.9779496889,0.9828489771,0.2347885706,0.2163568056,0.2515796473,0.1722974551,3304.9988550329,0.9804686864,0.1694998840,0.9375000000
65,0.9804246259,0.9780280719,0.9832117267,0.2305561795,0.2082015634,0.2499599218,0.1673098034,2755.5653352165,0.9804246259,0.1020440410,0.9791666667
66,0.9802726714,0.9767620625,0.9839925523,0.2218379823,0.1876648142,0.2482669365,0.1592028497,2895.1830302207,0.9802726714,0.1927243819,0.9895833333
67,0.9795902022,0.9749985385,0.9834809833,0.2316319680,0.2075651748,0.2525406682,0.1664737910,1.9986072270,0.9795902022,0.1939905584,0.9375000000
68,0.9798289935,0.9767856483,0.9820438805,0.2443261894,0.2301140733,0.2605952191,0.1744163680,914.7979044819,0.9798289935,0.1642223497,0.9687500000
69,0.9731095338,0.9666269383,0.9784114614,0.2944443862,0.2652091556,0.3326051307,0.1890884340,1.9469338020,0.9731095338,0.1541044712,0.9479166667
70,0.8576964744,0.6921179647,0.9773072424,0.5503503619,0.2781412853,0.9271593851,0.2374849252,4523.9995840597,0.8576964744,0.2109250625,0.9583333333
71,0.9641623179,0.9498327551,0.9764907484,0.3185043067,0.2608223109,0.3775162115,0.1980882887,1.9393995778,0.9641623179,-0.2144189676,0.6875000000
72,0.9562275497,0.9225245118,0.9816590943,0.3194632089,0.2240291870,0.4340823123,0.1904703959,4447.5248943663,0.9562275497,0.1603835548,0.9583333333
73,0.9730184857,0.9617546554,0.9828324504,0.2902438637,0.2115614250,0.3841051109,0.1907476228,7883.8220179192,0.9730184857,0.1002344191,0.8541666667
74,0.9746893589,0.9628727636,0.9847636347,0.2685887187,0.1915154856,0.3578535838,0.1803151192,6656.0079347293,0.9746893589,0.1028438061,0.9687500000
75,0.9831898435,0.9792883749,0.9860444593,0.2219989007,0.1811255392,0.2669430723,0.1661155328,10092.2953615697,0.9831898435,0.0379575615,0.9166666667
76,0.9863427869,0.9830629325,0.9899399428,0.2100411798,0.1681648988,0.2523852525,0.1668571516,11472.8206415971,0.9863427869,0.0342010210,0.8958333333
77,0.9799240589,0.9731680617,0.9856046138,0.2320053202,0.1720188067,0.2802241037,0.1713500152,1814.7990640132,0.9799240589,-0.1164309581,0.9583333333
78,0.9820452245,0.9794937267,0.9853225994,0.2334396896,0.1726556352,0.2770900087,0.1756991939,2988.2412842051,0.9820452245,0.1159387330,0.9375000000
79,0.9810141373,0.9767580986,0.9854897346,0.2391625559,0.1727582539,0.2876213570,0.1811974634,1965.3687260755,0.9810141373,0.0964869907,0.9687500000
80,0.9805287584,0.9757110624,0.9854227896,0.2324419528,0.1665707163,0.2841043192,0.1762304818,7343.8381772518,0.9805287584,0.1378682603,0.9583333333
81,0.9863562687,0.9846584301,0.9880325089,0.2003415472,0.1556293149,0.2324515213,0.1625306179,3643.3887200785,0.9863562687,0.1043740064,0.9479166667
82,0.9872894438,0.9840785980,0.9906955700,0.1845851307,0.1447154714,0.2144455652,0.1499415060,3035.4554634396,0.9872894438,0.0620689839,0.9791666667
83,0.9852429922,0.9784715424,0.9925697384,0.1877761388,0.1752928198,0.2050743683,0.1477642531,6903.5561504587,0.9852429922,0.2233577569,0.9791666667
84,0.9765503756,0.9616387739,0.9885291586,0.2333156746,0.2111473684,0.2627649740,0.1600161895,3250.9642899974,0.9765503756,0.2366958857,1.0000000000
