step,accuracy_mean,accuracy_q10,accuracy_q90,entropy_mean,entropy_q10,entropy_q90,true_cond_entropy_mean,false_cond_entropy_mean,true_mass_mean,loss_mean,reward_mean
0,0.7484021521,0.7484021521,0.7484021521,1.4789162087,1.4789162087,1.4789162087,0.6058455503,2.5538243866,0.7484021521,,
1,0.7742580112,0.7725510607,0.7756265001,1.3767260464,1.3660432243,1.3844200993,0.5859462051,2.5045949268,0.7742580112,-0.5690202514,0.4088541667
2,0.7958799616,0.7905541582,0.8032957697,1.2961053944,1.2760020533,1.3161420565,0.5617202206,2.5148172251,0.7958799616,-0.1870689640,0.5807291667
3,0.8125778405,0.7953809891,0.8299661980,1.1814758301,1.1567970300,1.2141071057,0.5262183269,2.4493953482,0.8125778405,-0.5067983965,0.4453125000
4,0.8215829738,0.8083545856,0.8344722347,1.0924009613,1.0431230507,1.1558269625,0.4984628584,2.3961198457,0.8215829738,-0.4814812491,0.4661458333
5,0.8475112271,0.8368008270,0.8557135372,0.9958279105,0.9658143959,1.0346235628,0.4704628414,2.3623826853,0.8475112271,-0.5793062299,0.4296875000
6,0.8727720277,0.8604666204,0.8821540518,0.9248878241,0.8754705939,0.9817407680,0.4552227745,2.3938155015,0.8727720277,-0.3565816879,0.5130208333
7,0.8032106932,0.7624503288,0.8485314579,1.0903673538,1.0166050496,1.1443254075,0.4787146298,2.3343631013,0.8032106932,0.0424245447,0.6458333333
8,0.8646083593,0.8218999529,0.8957106066,0.9174695063,0.8287949595,1.0333569236,0.4445702783,2.3662801663,0.8646083593,-0.2327030860,0.5807291667
9,0.8956696582,0.8803815737,0.9096489935,0.8296726052,0.7696911821,0.8872789049,0.4231264651,2.3344116116,0.8956696582,0.0640162279,0.8020833333
10,0.9008559219,0.8874753275,0.9128656263,0.7816118606,0.7259310970,0.8275394459,0.3962913215,2.3439888700,0.9008559219,0.0428070525,0.7500000000
11,0.9139147655,0.9045703797,0.9240357156,0.7140020684,0.6441190538,0.7679643307,0.3838082610,2.3481064002,0.9139147655,-0.2235873838,0.6536458333
